Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
T-Series,245000000,228000000000.0,20082,India,Music,6800000.0,57600000.0,108400000.0
YouTube Movies,170000000,0.0,1,United States,Games,0.04,0.31,0.58
MrBeast,166000000,28368841870.0,741,United States,Entertainment,4000000.0,34350000.0,64700000.0
Cocomelon - Nursery Rhymes,162000000,164000000000.0,966,United States,Education,5900000.0,50350000.0,94800000.0
SET India,159000000,148000000000.0,116536,India,Entertainment,5500000.0,46500000.0,87500000.0
Music,119000000,0.0,0,Unknown,Music,0.0,0.0,0.0
ýýý Kids Diana Show,112000000,93247040539.0,1111,United States,Entertainment,2200000.0,18650000.0,35100000.0
PewDiePie,111000000,29058044447.0,4716,Japan,Entertainment,117600.0,1008800.0,1900000.0
Like Nastya,106000000,90479060027.0,493,Russia,People,146800.0,1223400.0,2300000.0
Vlad and Niki,98900000,77180169894.0,574,United States,Entertainment,1700000.0,14800000.0,27900000.0
Zee Music Company,96700000,57856289381.0,8548,India,Music,2400000.0,20500000.0,38600000.0
WWE,96000000,77428473662.0,70127,United States,Sports,2100000.0,18200000.0,34300000.0
Gaming,93600000,0.0,0,Unknown,Games,0.0,0.0,0.0
BLACKPINK,89800000,32144597566.0,543,South Korea,Music,1500000.0,12700000.0,23900000.0
Goldmines,86900000,24118230580.0,1,Unknown,Music,0.05,0.455,0.86
Sony SAB,83000000,101000000000.0,71270,India,Entertainment,5000000.0,42300000.0,79600000.0
5-Minute Crafts,80100000,26236790209.0,1,United Kingdom,Entertainment,0.0,0.025,0.05
BANGTANTV,75600000,20826993957.0,2281,South Korea,Music,504900.0,4302450.0,8100000.0
Sports,75000000,0.0,3,United States,Entertainment,0.05,0.41000000000000003,0.77
Justin Bieber,71600000,30608119724.0,249,Canada,Music,529000.0,4514500.0,8500000.0
HYBE LABELS,71300000,28634566938.0,1337,South Korea,Music,1800000.0,15250000.0,28700000.0
Zee TV,70500000,73139054467.0,129204,India,Entertainment,5100000.0,43500000.0,81900000.0
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,2865,United States,Education,1400000.0,12050000.0,22700000.0
Canal KondZilla,66500000,36775585925.0,2572,Brazil,Music,0.0,0.0,0.0
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,633,India,Education,1300000.0,10750000.0,20200000.0
Shemaroo Filmi Gaane,65600000,28648024439.0,8502,India,Music,764900.0,6482450.0,12200000.0
Colors TV,64600000,61510906457.0,112915,India,Entertainment,3600000.0,30300000.0,57000000.0
T-Series Bhakti Sagar,61000000,29533230328.0,13,India,Music,0.03,0.255,0.48
Dude Perfect,59500000,16241549158.0,389,United States,Sports,423600.0,3611800.0,6800000.0
Movieclips,59500000,59316472754.0,39113,United States,Film,344000.0,2922000.0,5500000.0
Tips Official,59300000,33431802698.0,4741,India,Music,1300000.0,10800000.0,20300000.0
El Reino Infantil,58400000,57271630846.0,1510,Argentina,Music,1800000.0,15600000.0,29400000.0
Wave Music,58000000,40602020243.0,19487,India,Music,696100.0,5898050.0,11100000.0
Aaj Tak,57600000,25307753534.0,283775,India,News,1400000.0,11750000.0,22100000.0
Sony Music India,57200000,28837144516.0,3882,India,Music,777900.0,6588950.0,12400000.0
EminemMusic,56900000,27073872856.0,156,United States,Music,780600.0,6640300.0,12500000.0
Marshmello,56400000,14696003229.0,436,United States,Music,336300.0,2868150.0,5400000.0
YRF,54600000,35302243691.0,3707,India,Music,1500000.0,13050000.0,24600000.0
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239.0,11,Unknown,,0.48,4.24,8.0
Ed Sheeran,53500000,30367676736.0,383,United Kingdom,Music,608200.0,5154100.0,9700000.0
Infobells - Hindi,53300000,30516172739.0,577,India,Education,2400000.0,20800000.0,39200000.0
Taylor Swift,52900000,29884657286.0,216,United States,Music,1600000.0,13500000.0,25400000.0
Ariana Grande,52700000,24004842608.0,147,United States,Music,480600.0,4090300.0,7700000.0
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274.0,847,United States,Education,800200.0,6800100.0,12800000.0
JuegaGerman,48100000,14631710289.0,2052,Chile,Games,199200.0,1699600.0,3200000.0
Billie Eilish,47900000,13626331061.0,65,United States,Music,440600.0,3720300.0,7000000.0
Get Movies,47500000,30788679536.0,3322,Russia,Film,919600.0,7809800.0,14700000.0
Shemaroo,47400000,22519705183.0,11451,India,Entertainment,698200.0,5949100.0,11200000.0
Badabun,46800000,19398045702.0,1,Unknown,Music,1.0,11.0,21.0
SonyMusicIndiaVEVO,46600000,27286058807.0,3444,United States,Music,943500.0,8021750.0,15100000.0
A4,46300000,22936630813.0,1,Cuba,People,0.28,2.64,5.0
Bad Bunny,46100000,30686342319.0,1,Unknown,Sports,0.0,0.025,0.05
Fernanfloo,46100000,10323391593.0,543,El Salvador,Games,101500.0,850750.0,1600000.0
Voot Kids,45500000,21388725229.0,4660,India,Entertainment,702000.0,5951000.0,11200000.0
Felipe Neto,45200000,16602198273.0,4331,Brazil,Entertainment,391100.0,3345550.0,6300000.0
Vocï¿½ï¿½ï¿½,44700000,7828610828.0,1558,Brazil,Entertainment,144100.0,1222050.0,2300000.0
HAR PAL GEO,44600000,41139050371.0,100755,Pakistan,Entertainment,4000000.0,34100000.0,64200000.0
BRIGHT SIDE,44500000,10708531817.0,0,Unknown,,0.0,0.0,0.0
Katy Perry,44200000,25458952022.0,128,United States,Music,402700.0,3401350.0,6400000.0
whinderssonnunes,44200000,4274709210.0,558,Brazil,Comedy,80100.0,690050.0,1300000.0
ABS-CBN Entertainment,44200000,50292540392.0,193890,Philippines,Entertainment,529900.0,4514950.0,8500000.0
Alan Walker,43700000,12884264778.0,8,Thailand,Film,0.07,0.535,1.0
HolaSoyGerman.,43600000,4831311245.0,6,Unknown,People,0.01,0.1,0.19
Shakira,43500000,27568757295.0,326,Colombia,Howto,1100000.0,9050000.0,17000000.0
ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,36458726976.0,1478,Russia,Education,911300.0,7755650.0,14600000.0
ARY Digital HD,43200000,37939780685.0,109871,Pakistan,Entertainment,3400000.0,29300000.0,55200000.0
Speed Records,42500000,26820902622.0,10938,India,Music,479300.0,4089650.0,7700000.0
Masha and The Bear,42400000,24519022988.0,1218,United States,Film,2000000.0,17100000.0,32200000.0
Like Nastya Show,42400000,19547696190.0,618,United States,Entertainment,159600.0,1379800.0,2600000.0
Rihanna,41900000,22477745835.0,84,Barbados,Music,548800.0,4674400.0,8800000.0
Ishtar Music,41400000,17608931161.0,4510,India,Music,542800.0,4621400.0,8700000.0
Kimberly Loaiza,41300000,5603111948.0,291,Mexico,People,410200.0,3505100.0,6600000.0
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833.0,2423,United States,Education,296300.0,2498150.0,4700000.0
Luisito Comunica,40600000,8670473639.0,0,Mexico,Comedy,0.0,0.0,0.0
elrubiusOMG,40400000,7410536668.0,703,Unknown,Entertainment,17300.0,147200.0,277100.0
Toys and Colors,40300000,47005053156.0,4,Unknown,People,0.02,0.13,0.24
shfa2 - ï¿½ï¿½,39700000,23884824160.0,1596,United Arab Emirates,People,743200.0,6321600.0,11900000.0
LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,1,Unknown,Games,0.01,0.055,0.1
CarryMinati,39200000,3294013141.0,186,India,Comedy,236100.0,2018050.0,3800000.0
XXXTENTACION,39200000,10507474316.0,133,United States,Music,175100.0,1487550.0,2800000.0
Super Simple Songs - Kids Songs,39200000,44900897958.0,744,Canada,Education,1700000.0,14300000.0,26900000.0
Mikecrack,39100000,16118181673.0,1876,Spain,Games,792300.0,6746150.0,12700000.0
WorkpointOfficial,39000000,36131228583.0,72580,Thailand,Entertainment,391400.0,3345700.0,6300000.0
GR6 EXPLODE,38900000,25154232306.0,3043,Brazil,Music,4900000.0,41700000.0,78500000.0
TEDx Talks,38600000,7339333120.0,200933,United States,Nonprofit,136900.0,1168450.0,2200000.0
shfa,38400000,21528116909.0,982,Saudi Arabia,Games,4800.0,40550.0,76300.0
Goldmines Gaane Sune Ansune,38300000,16718192386.0,3532,India,Music,2400000.0,20750000.0,39100000.0
One Direction,38200000,13598903820.0,11,United States,Music,19.0,162.0,305.0
TheEllenShow,38200000,22756581750.0,15672,United States,Entertainment,65400.0,532700.0,1000000.0
Sony PAL,38200000,28519339489.0,24089,India,Entertainment,1200000.0,10600000.0,20000000.0
Daddy Yankee,38000000,22731415608.0,505,United States,Music,616800.0,5258400.0,9900000.0
Vlad vï¿½ï¿½ï,37900000,23510152352.0,515,United States,Entertainment,732300.0,6216150.0,11700000.0
Like Nastya ESP,37600000,18208196857.0,743,United States,Entertainment,963100.0,8181550.0,15400000.0
ýýýýýýýýýýýý one31,37500000,27262462114.0,117152,Thailand,Entertainment,422300.0,3611150.0,6800000.0
Jkk Entertainment,37200000,16402066717.0,220,India,Comedy,149600.0,1274800.0,2400000.0
ABP NEWS,37000000,13102611515.0,301308,India,News,801200.0,6800600.0,12800000.0
Maria Clara & JP,37000000,24188861917.0,744,Brazil,Entertainment,754300.0,6427150.0,12100000.0
Bruno Mars,36700000,19378155425.0,99,United States,Music,525700.0,4462850.0,8400000.0
Maroon 5,36600000,22553923546.0,171,United States,Music,458500.0,3879250.0,7300000.0
